SN;T;A;B;Month;Year;Country
A;B;12;2331;6;2020;Mexico
A;B;13;2446;7;2020;Mexico
A;B;12;2394;8;2020;Mexico
A;B;15;2774;9;2020;Mexico
A;B;13;2565;1;2020;Mexico
A;B;13;2565;2;2020;Mexico
A;B;13;2565;3;2020;Mexico
A;B;13;2565;4;2020;Mexico
A;B;17;3563;10;2020;Mexico
A;B;17;3466;11;2020;Mexico
A;B;11;2112;12;2020;Mexico
A;B;13;2560;1;2021;Mexico
A;B;17;3396;2;2021;Mexico
A;B;15;3381;3;2021;Mexico
A;B;18;3562;4;2021;Mexico
A;B;15;2880;5;2020;Mexico
A;B;15;3525;5;2021;Mexico
A;B;5;1353;6;2021;Mexico
B;C;7;50;6;2020;USA
B;A;17;2196;6;2020;USA
B;B;0;0;6;2020;USA
B;B;0;0;7;2020;USA
B;C;3;27;7;2020;USA
B;A;15;2370,25;7;2020;USA
B;A;18;2571;8;2020;USA
B;B;0;0;8;2020;USA
B;C;2;10;8;2020;USA
B;B;1;188;3;2020;USA
B;C;16;62;3;2020;USA
B;A;17;4867;3;2020;USA
B;C;5;160;9;2020;USA
B;A;16;2375;9;2020;USA
B;B;0;0;9;2020;USA
B;A;17;2727;1;2020;USA
B;A;17;2727;2;2020;USA
B;B;1;100;1;2020;USA
B;C;6;47;1;2020;USA
B;B;1;100;2;2020;USA
B;C;6;47;2;2020;USA
B;B;1;40;4;2020;USA
B;C;3;10;4;2020;USA
B;A;16;2570;4;2020;USA
B;A;17;2385;10;2020;USA
B;B;0;0;10;2020;USA
B;C;0;0;10;2020;USA
B;B;0;0;11;2020;USA
B;C;0;0;11;2020;USA
B;A;17;2156,75;11;2020;USA
B;B;0;0;12;2020;USA
B;C;0;0;12;2020;USA
B;B;0;0;12;2020;USA
B;C;0;0;12;2020;USA
B;A;17;2856;12;2020;USA
B;B;1;131;5;2020;USA
B;A;16;2139;5;2020;USA
B;C;4;10;5;2020;USA
B;B;0;0;1;2021;USA
B;A;16;1446;1;2021;USA
B;C;3;48;1;2021;USA
B;C;3;30;2;2021;USA
B;A;16;1944;2;2021;USA
B;B;0;0;2;2021;USA
B;B;0;0;3;2021;USA
B;C;2;16;3;2021;USA
B;A;17;2266;3;2021;USA
B;A;15;2181;4;2021;USA
B;B;0;0;4;2021;USA
B;C;7;99;4;2021;USA
B;C;5;30;5;2021;USA
B;B;0;0;5;2021;USA
B;A;15;2184;5;2021;USA
B;B;0;0;6;2021;USA
B;C;5;30;6;2021;USA
B;A;15;2184;6;2021;USA
C;A;19;2869;6;2020;Turkey
C;C;7;948;6;2020;Turkey
C;A;19;2988;7;2020;Turkey
C;C;7;948;7;2020;Turkey
C;A;19;2824;8;2020;Turkey
C;C;7;948;8;2020;Turkey
C;A;19;3388;9;2020;Turkey
C;C;8;948;9;2020;Turkey
C;A;18;3051;1;2020;Turkey
C;C;7;1332;1;2020;Turkey
C;A;18;3051;2;2020;Turkey
C;C;7;1332;2;2020;Turkey
C;A;18;3051;3;2020;Turkey
C;C;7;1332;3;2020;Turkey
C;A;17;2779;10;2020;Turkey
C;C;7;948;10;2020;Turkey
C;A;18;3051;4;2020;Turkey
C;C;7;1332;4;2020;Turkey
C;A;18;3138;11;2020;Turkey
C;C;7;948;11;2020;Turkey
C;A;19;3375;12;2020;Turkey
C;C;7;948;12;2020;Turkey
C;A;19;3210;1;2021;Turkey
C;C;7;1050;1;2021;Turkey
C;A;22;3647;2;2021;Turkey
C;C;7;1050;2;2021;Turkey
C;A;18;2421;5;2020;Turkey
C;C;7;1038;5;2020;Turkey
C;A;22;4405;3;2021;Turkey
C;C;7;1122;3;2021;Turkey
C;A;31;4604;5;2021;Turkey
C;B;0;0;5;2021;Turkey
C;A;33;4795;4;2021;Turkey
C;C;6;874;4;2021;Turkey
C;C;6;874;5;2021;Turkey
C;A;33;6125;6;2021;Turkey
C;C;6;874;6;2021;Turkey
D;A;6;1011;6;2020;Spain
D;A;6;1098;7;2020;Spain
D;C;0;0;7;2020;Spain
D;B;0;0;7;2020;Spain
D;B;0;0;8;2020;Spain
D;C;0;0;8;2020;Spain
D;A;6;1011;8;2020;Spain
D;A;6;1000;1;2020;Spain
D;A;6;1000;2;2020;Spain
D;A;6;1000;3;2020;Spain
D;A;6;1000;4;2020;Spain
D;A;6;1011;10;2020;Spain
D;A;6;1011;9;2020;Spain
D;B;0;0;11;2020;Spain
D;C;0;0;11;2020;Spain
D;A;6;960;11;2020;Spain
D;B;0;0;12;2020;Spain
D;C;0;0;12;2020;Spain
D;A;6;873;12;2020;Spain
D;B;0;0;1;2021;Spain
D;C;0;0;1;2021;Spain
D;A;6;909;1;2021;Spain
D;B;0;0;5;2020;Spain
D;C;0;0;5;2020;Spain
D;A;6;960;5;2020;Spain
D;B;0;0;2;2021;Spain
D;C;0;0;2;2021;Spain
D;A;6;960;2;2021;Spain
D;B;0;0;3;2021;Spain
D;C;0;0;3;2021;Spain
D;A;6;1062;3;2021;Spain
D;B;0;0;4;2021;Spain
D;C;0;0;4;2021;Spain
D;A;6;909;4;2021;Spain
D;B;0;0;5;2021;Spain
D;C;0;0;5;2021;Spain
D;A;6;1011;5;2021;Spain
E;C;43;2050;6;2020;Algeria
E;A;36;3120;6;2020;Algeria
E;C;43;2050;6;2020;Algeria
E;C;21;3200;7;2020;Algeria
E;A;31;4210;7;2020;Algeria
E;A;34;5090;8;2020;Algeria
E;C;20;2050;8;2020;Algeria
E;A;34;5090;9;2020;Algeria
E;C;22;3664;9;2020;Algeria
E;C;43;2050;1;2020;Algeria
E;A;36;3120;1;2020;Algeria
E;C;43;2050;2;2020;Algeria
E;A;36;3120;2;2020;Algeria
E;C;43;2050;5;2020;Algeria
E;A;36;3120;5;2020;Algeria
E;C;43;2050;3;2020;Algeria
E;A;36;3120;3;2020;Algeria
E;C;43;2050;4;2020;Algeria
E;A;36;3120;4;2020;Algeria
E;C;22;3664;10;2020;Algeria
E;A;34;5190;10;2020;Algeria
E;C;13;2050;4;2020;Algeria
E;A;23;3168;4;2020;Algeria
E;C;21;3696;11;2020;Algeria
E;A;34;5752;11;2020;Algeria
E;C;21;3400;12;2020;Algeria
E;A;34;5480;12;2020;Algeria
E;C;20;3192;1;2021;Algeria
E;A;34;5328;1;2021;Algeria
E;C;20;2760;2;2021;Algeria
E;A;32;4840;2;2021;Algeria
E;C;20;2760;3;2021;Algeria
E;A;32;4840;3;2021;Algeria
E;C;43;2050;5;2020;Algeria
E;A;36;3120;5;2020;Algeria
E;C;20;2760;4;2021;Algeria
E;A;31;4710;4;2021;Algeria
E;C;18;3168;5;2021;Algeria
E;A;33;5200;5;2021;Algeria
E;C;18;3680;6;2021;Algeria
E;A;32;5109;6;2021;Algeria
F;A;44;8800;11;2020;Saudi Arabia
F;A;44;8800;12;2020;Saudi Arabia
F;A;35;7000;1;2021;Saudi Arabia
F;A;35;6160;2;2021;Saudi Arabia
F;A;41;8200;3;2021;Saudi Arabia
F;A;41;5904;4;2021;Saudi Arabia
