Year;Month;SN;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
2021;03;A;3 972;B;3,00%;0,00%;16;99783;1130;0;0,2;2;;0,3;0,6;0,60%;0,00%
2021;01;A;5 997;B;0,00%;0,00%;12;127794;1642;0;0,4;2,9;;0,5;0,9;0,90%;100,00%
2021;01;B;128 741;A;100,00%;85,00%;1374;1651000;17343;7408;0;3613;0;65;941;0,00%;
2021;03;B;22 452;A;100,00%;80,00%;569;334640;594;1554;0;524;0;3;112;0,00%;0,00%
2021;01;B;128 741;A;100,00%;85,00%;1374;1651000;17343;7408;0;3613;0;65;941;0,00%;
2021;01;C;5 802;B;100,00%;100,00%;50;253200;3000;75350;0;46;0;40;12;1,00%;100,00%
2021;03;C;1 189;B;25,00%;80,00%;5;58366;1344;35600;0;5;0;4;3;1,00%;100,00%
2021;01;D;19 113;B;0,00%;0,00%;38;563429;125;0;0;125;0;92,1;33,4;7,50%;0,00%
2021;03;D;5 604;B;80,00%;80,00%;30;185082;34;0;0;34;0;50;0;0,00%;0,00%
2021;01;E;22 706;B;100,00%;80,00%;57;582348;13816;0;0;4047;0;517,8;122;33,40%;0,00%
2021;03;E;6 513;B;100,00%;60,00%;53;248399;2531;0;0;119;0;395;28;37,50%;0,00%
2021;01;F;25 776;B;100,00%;100,00%;46;819438;;0;0;;0;248,1;89,6;53,90%;0,00%
2021;03;F;7 455;B;100,00%;80,00%;31;;;0;0;87;0;59;0;46,00%;0,00%
2021;01;G;16 331;A;100,00%;100,00%;1176;563000;11285;200475;0;7284;0,058;101,61;41,168;2,30%;100,00%
2021;03;G;3 828;A;100,00%;100,00%;965;157660;2820;93590;0;1820;0,0147;58,9;11,2;1,50%;100,00%
2021;03;H;342;A;100,00%;100,00%;150;37957;2745;65364;0;411;0;0,252;4,8;0,00%;100,00%
2021;03;I;44 313;A;100,00%;100,00%;65;181272;194;10880;38168;186;0,043;0;7,786;0,00%;100,00%
2021;01;J;0;A;100,00%;100,00%;;;;0;0;0;0;0;;;
2021;01;K;99 049;B;0,00%;0,00%;7;980930;77408,85;0;12392;557,23;0;30,505;181,79;0,00%;0,00%
2021;03;K;;B;0,00%;0,00%;1;291100;30184,7;0;1483851;26,505;0;2,365;158,95;0,00%;0,00%
2021;06;K;24 269;B;0,00%;0,00%;3;211189;5669;0;4,94617;24,225;0;1,72;54,6;0,00%;0,00%
2021;03;L;;B;100,00%;40,00%;522;70643;0;51796;0;0;0;0;0;0,00%;0,00%
2021;01;L;;A;100,00%;100,00%;1827;282571;0;207185;0;0;0;0;0;0,00%;0,00%
2021;01;M;130 856;A;85,00%;100,00%;610;4845832;10549;4968667;210;414;0;169;2680;0,00%;100,00%
2021;03;M;34 312;A;25,00%;100,00%;120;1272493;2600;1305218;62;99;0;35;712;0,00%;100,00%
2021;01;N;107 798;A;100,00%;100,00%;225;2507153;2190;2644785;134;2190;0;1;1925;0,00%;100,00%
2021;03;N;18 313;A;50,00%;100,00%;112;658128;550;696,167;35;620;0;0;411;0,00%;100,00%
2021;01;O;13 036;A;67,00%;100,00%;2114;2954824;2650;5351336;0;2560;3,4;1273;270;80,00%;0,00%
2021;03;O;3 570;A;0,00%;0,00%;953;777320;662;2272300;0;640;21;293;76;90,00%;0,00%
2021;01;P;43 124;A;100,00%;100,00%;200;2809008;23581;3966304;38;15382;0;78;686;0,00%;80,00%
2021;03;P;11 478;A;100,00%;100,00%;65;735638;5817;1050147;9;3812;0;23;163;0,00%;100,00%
2021;01;Q;55 704;C;100,00%;100,00%;9856;809209;30356;0;195;1257;0;12;277;0,00%;0,00%
2021;03;Q;11 435;B;100,00%;80,00%;454;205000;5930;0;84;205;0;1,68;99,34;0,00%;0,00%
2021;01;R;21 130;A;100,00%;100,00%;532;367000;1032;0;0;86,04;0;168,906;79,244;0,00%;0,00%
2021;03;R;3 569;A;100,00%;100,00%;379;206554;;0;0;22,36;0;20,2;4,44;0,00%;0,00%
2021;01;S;25 090;A;89,10%;100,00%;72;709740;9740;47215;0;119;0;57,8;87,8;63,00%;5,00%
2021;01;S;6 946;A;100,00%;100,00%;198;208180;3015;21878;0;44,27;0;12,26;33,18;0,00%;7,00%
2021;01;S;7 443;A;100,00%;100,00%;125;172650;3018;3177;0;30,17;0;12,38;18,7;47,00%;5,00%
2021;01;T;24 603;A;100,00%;100,00%;3;480083;3583;1465;0;50;0;211;149;99,00%;100,00%
2021;03;T;6 919;A;100,00%;100,00%;2;111000;959;750;0;0;0;45;180;82,00%;100,00%
2021;06;T;8 464;A;100,00%;33,00%;2;78172;1100;;0;1100;;23320;7920;100,00%;100,00%
2021;01;U;9 643;B;100,00%;100,00%;;125419;478099,94;;;4,05;;0;0,09;;
2021;01;V;96 419;A;66,00%;50,00%;96;4073759;498553;1018447;1;65998;121;1059;874;12,00%;100,00%
2021;03;V;21 395;A;100,00%;100,00%;20;1322352;111000;351392;0;111000;0;616;388;20,00%;100,00%
2021;06;V;31 568;A;100,00%;14,00%;35;1314704;115000;;0;100000;;420;236;21,00%;100,00%
